date,maximum_atmospheric_pressure,minimum_atmospheric_pressure,precipitation,maximum_air_temperature,minimum_air_temperature,maximum_relative_humidity,minimum_relative_humidity,total_solar_radiation,maximum_temperature,minimum_temperature,average_air_temperature,average_relative_humidity,wind_speed,total_solar_radiation.1
2017-04-19,613.4765625,599.8193958333333,0.30691666666666667,27.25808333333333,25.764750000000003,86.98270833333333,79.68141666666666,1988.5021666666669,23.8844525,22.61051833333333,26.4327775,83.50681833333333,0.53351275625,5.523617416666667
2017-04-20,612.59005,599.7903875000001,0.0,27.631083333333333,25.941458333333333,86.95970833333332,79.62708333333333,2035.7729583333332,24.06469583333333,22.81058541666667,26.774188749999997,83.32985916666667,0.4520400259583333,5.654924875
2017-04-21,610.3017,599.8291833333334,0.0,27.807333333333332,26.075875,84.37333333333333,77.40658333333333,2046.97225,23.7180275,22.481298749999997,26.92415791666667,80.90119208333333,0.5387616175,5.686034125
2017-04-22,609.332275,599.8425375,0.15875,26.115916666666667,24.82704166666667,93.81870833333333,88.03195833333332,1845.7659999999998,24.255792916666667,23.2948925,25.38481125,91.19743041666668,0.4976938549166667,5.127127875
2017-04-23,610.8160416666667,599.8460958333334,0.05291666666666667,27.720875000000003,26.129958333333335,88.694125,81.728125,2006.5089583333336,24.577878333333334,23.444578333333336,26.929130416666666,85.40220916666668,0.652057289,5.573636333333333
2017-04-24,610.66405,599.7800916666666,0.010583333333333333,26.634,25.421083333333332,89.84379166666668,84.47504166666667,1994.2331666666666,23.944466666666667,23.045062083333335,26.015007083333334,87.22135541666667,0.781837399625,5.539536583333334
2017-04-25,612.7391125,599.8014625,0.0,27.776750000000003,26.23420833333333,82.21933333333334,75.64804166666667,2041.9462916666669,23.212841666666666,22.162177083333333,27.013542083333334,79.00239375,0.776788199375,5.672072833333334
2017-04-26,607.895675,599.8223125000001,0.0,27.685374999999997,26.2255,83.16016666666667,76.62904166666667,2042.1274166666665,23.37743,22.289305416666668,26.982255,79.93805166666667,0.57342595375,5.672576208333333
2017-04-27,612.829175,599.8079416666667,0.2540000416666666,27.697958333333332,25.75570833333333,85.76958333333333,77.76758333333333,2005.6265416666665,23.740994999999998,22.452322499999998,26.636759583333333,81.95240958333333,0.7276649217916668,5.571184958333333
2017-04-28,614.0202791666667,599.8251208333334,1.1112495833333333,27.122791666666668,25.41125,90.879375,84.24025,1944.0264166666666,24.380757083333332,23.252945,26.219493749999998,87.68954375,0.6782262496666666,5.40007375
2017-04-29,611.1822083333333,599.840375,0.010583333333333333,26.6995,25.207375,88.75829166666666,82.88237500000001,1930.6210833333334,23.712963333333335,22.536419166666665,25.932243749999998,85.64395083333334,0.4620515612875,5.3628366666666665
2017-04-30,605.9424625,599.8118958333333,0.9630829166666667,25.95266666666667,24.38808333333333,95.61708333333333,89.65454166666666,1793.3087083333332,24.46971333333333,23.242443750000003,25.18058125,92.69946541666667,0.31325515474166665,4.981412958333333
2017-05-01,609.1949083333333,599.8482625,0.0,26.729249999999997,25.198833333333337,87.77845833333333,81.82666666666667,1945.69225,23.544440833333336,22.38568375,25.890565416666664,85.22760625,0.5375839162041667,5.404701
2017-05-02,610.5757791666666,599.8031041666667,0.45508341666666663,27.25883333333333,25.787833333333335,84.74366666666667,76.56525,2079.980541666667,23.21210375,21.707619583333337,26.479915000000002,80.77473291666666,0.5719126516208334,5.77772375
2017-05-03,611.1486458333334,599.8656791666666,0.0,26.7205,25.292875,88.27095833333334,81.498375,1903.7698333333335,23.663509166666667,22.45116125,25.971934583333333,84.87194791666667,0.4993865250416667,5.288249333333334
